Material	EAN	DescricaoCompleta	SubGrupo	quantidade	custoMedio
400005190	7896714231143	NEOSORO SOL NASAL AD 30ML BENZALC. NEO.	NEO Q. SMART	98793	2.51
400004858	7896112114185	LOSARTANA G.TEU 50MG 30CP	TEUTO GEN	67212	1.24
400004778	7896112194576	DEXAMETASONA G.TEU 4MG 10CP	TEUTO GEN	59162	1.75
400017964	7898758870616	PREVENT C VITAMINA C 1G 10CP EFERV PVT	PREVENT PHARMA	54701	1.99
400006367	7896112147640	AERODINI 100 MCG/DS 200DS SUSP SALB TEU.	TEUTO SIM	41833	9.56
400003302	7896862918583	HIDROCLOROTIAZIDA G.MED 25MG 30CP	MEDQUIMICA GEN	40111	0.88
400016937	7898758870258	VITAMINA B12 60CP MAST FRUTAS VERM PVT	PREVENT PHARMA	38176	4.79
400002541	7896181920502	ROSUVASTATINA G.BIO 10MG 30CP	BIOSINTETICA/LABOFARMA GEN	34914	2.52
400018019	7898758870692	LUFTGAS 125MG 10CAP GEL SIMETICONA PVT	PREVENT PHARMA	31892	1.56
400004745	7896112134213	CEFALEXINA G.TEU 500MG 10CP(*)	TEUTO GEN	30743	4.41
400018051	7898758870623	PREVENT C+ZINCO 1G+10MG 10CP EFERV PVT	PREVENT PHARMA	29190	2.24
400002191	7899620915039	NIMESULIDA G.GLO 100MG 12CP	GLOBO GEN	28515	0.83
400017425	7898758870067	PREVENT FOR C  VIT C+ARG+ZIN 1G 10CP PVT	PREVENT PHARMA	23791	3.18
400017300	7898758870456	HIDRATEEE MAX PRO ZINCO 4SACHE NAT PVT	PREVENT PHARMA	22288	3.36
400004870	7896112126478	METFORMINA G.TEU 500MG 30CP	TEUTO GEN	20898	2.16
400016828	7898758870418	PREVENT C MAX TRIPLA ACAO 10CP EFERV PVT	PREVENT PHARMA	20824	3
400016938	7898758870241	VITAMINA B12 60CP MAST CACAU PVT	PREVENT PHARMA	20611	4.84
400003289	7896862940058	DIPIMED GTS 20ML DIPIRONA MED.	MEDQUIMICA SIM	20544	1.66
400003637	7898133131011	MAXALGINA 20ML DIPIRONA SODICA NAT.	NATULAB	19916	2.58
400017629	7898758870722	VIT B12+VIT C+1G 30CP EFERV FRUT VER PVT	PREVENT PHARMA	18803	7.28
400007112	7898593052888	FLUCETIL 600MG 16ENV SABOR LARANJA MAX.	MAXINUTRI	18593	7.42
400004954	7896112121145	TRAMADOL G.TEU 50MG 10CA(A2)	TEUTO GEN	18299	1.33
400003598	7897848500037	NEONAZOL SOL NASAL 30ML NAFAZOLINA NVT.	NATIVITA SIM	18198	1.11
400004713	7896112124429	AMITRIPTILINA HCL G.TEU 25MG 30CP(C1)	TEUTO GEN	18031	1.5
400003635	7899470807362	MAXALGINA 1GR 10CP DIPIRONA SODICA NAT.	NATULAB	17501	4.71
400004908	7896112172130	PREGABALINA G.TEU 75MG 30CA(C1)	TEUTO GEN	16630	4.09
400002758	7896004812168	EXPEC XPE 120ML OXOMEM+ASSOC LEG.	LEGRAND SUPERMARCAS	16449	15.5
400017304	7898758870487	HIDRATEEE MAX PRO ZINCO 4SACHE COCO PVT	PREVENT PHARMA	16437	3.33
